Authors,Author Ids,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Access Type,Source,EID
"Baker M.R., Goodman A.C., Santo J.B., Wong R.Y.","57203887205;57203886961;57203885518;56660235300;","Repeatability and reliability of exploratory behavior in proactive and reactive zebrafish, Danio rerio",2018,"Scientific Reports","8","1", 12114,"","",,,"10.1038/s41598-018-30630-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053428456&doi=10.1038%2fs41598-018-30630-3&partnerID=40&md5=2ec0156c86e6cba7b9d37d8d29856118","Department of Biology, University of Nebraska Omaha, Omaha, NE, United States; Department of Psychology, University Nebraska Omaha, Omaha, NE, United States","Baker, M.R., Department of Biology, University of Nebraska Omaha, Omaha, NE, United States; Goodman, A.C., Department of Biology, University of Nebraska Omaha, Omaha, NE, United States; Santo, J.B., Department of Psychology, University Nebraska Omaha, Omaha, NE, United States; Wong, R.Y., Department of Biology, University of Nebraska Omaha, Omaha, NE, United States, Department of Psychology, University Nebraska Omaha, Omaha, NE, United States","Behavioral responses to novel situations often vary and can belong to a suite of correlated behaviors. Characteristic behaviors of different personality types (e.g. stress coping styles) are generally consistent across contexts and time. Here, we compare the repeatability and reliability of exploratory behaviors between zebrafish strains selectively bred to display contrasting behavioral responses to stressors that represent the proactive-reactive axis. Specifically, we measure exploratory behavior of individual fish in an open field test over five weeks. We quantified the stationary time, average swimming speed and time spent by a fish in the center area. We found a number of strain differences for each behavioral measure. Stationary time was the most repeatable and reliable measure for assessing proactive-reactive behavioral differences. Reactive zebrafish generally showed the highest reliability and repeatability of exploratory behavior compared to proactive zebrafish and a separate wild caught strain. Given the increased interest in the evolutionary consequences and proximate mechanisms of consistent individual differences, it will be important to continue to investigate how different selective pressures may influence expression of stress coping styles and their effects on the consistency of an animal’s behavior. © 2018, The Author(s).",,"animal experiment; article; controlled study; exploratory behavior; nonhuman; open field test; reliability; strain difference; stress; swimming speed; zebra fish","Wong, R.Y.; Department of Biology, University of Nebraska OmahaUnited States; email: rwong@unomaha.edu",,"Nature Publishing Group",20452322,,,,"English","Sci. Rep.",Article,Open Access,Scopus,2-s2.0-85053428456
"Ibáñez A., Martín J., Gazzola A., Pellitteri-Rosa D.","55261947400;7501556644;57200588121;56019541100;","Freshwater turtles reveal personality traits in their antipredatory behaviour",2018,"Behavioural Processes","157",,,"142","147",,,"10.1016/j.beproc.2018.08.011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054170887&doi=10.1016%2fj.beproc.2018.08.011&partnerID=40&md5=88e8044f09eaa5c50e8da04548c55f74","Department of Comparative Anatomy, Institute of Zoology and Biomedical Research, Jagiellonian University, Kraków, 30-387, Poland; Departamento de Ecología Evolutiva, Museo Nacional de Ciencias Naturales, CSIC, Madrid, 28006, Spain; Laboratorio di Eco-Etologia, Dipartimento di Scienze della Terra e dell'Ambiente, Università di Pavia, Pavia, 27100, Italy","Ibáñez, A., Department of Comparative Anatomy, Institute of Zoology and Biomedical Research, Jagiellonian University, Kraków, 30-387, Poland, Departamento de Ecología Evolutiva, Museo Nacional de Ciencias Naturales, CSIC, Madrid, 28006, Spain; Martín, J., Departamento de Ecología Evolutiva, Museo Nacional de Ciencias Naturales, CSIC, Madrid, 28006, Spain; Gazzola, A., Laboratorio di Eco-Etologia, Dipartimento di Scienze della Terra e dell'Ambiente, Università di Pavia, Pavia, 27100, Italy; Pellitteri-Rosa, D., Laboratorio di Eco-Etologia, Dipartimento di Scienze della Terra e dell'Ambiente, Università di Pavia, Pavia, 27100, Italy","Animals respond to predation risk with antipredatory behaviours that may disclose the presence of different personality traits among individuals in a population, and how populations may differ for the expression of those traits. Variation among individuals is a necessary condition for the evolution through natural selection and inter-individual behavioural differences may be selected in different environmental situations. We tested whether individuals of two freshwater turtle species, Emys orbicularis and Mauremys leprosa, show consistent risk-taking behaviour when exposed to the presence of a potential predator. In an outdoor experimental setting, we simulated a predatory attack by overturning a turtle onto its carapace and recording three different behavioural response variables. Our results showed clear differences between species. The appearance time was highly consistent over the trials for both species, but was shorter for E. orbicularis and very long for M. leprosa. Waiting time was consistent only for females of E. orbicularis while M. leprosa did not show repeatability and had significantly longer waiting times. The number of failed righting attempts, likely being partially dependent on turtle individual performance, was highly consistent during the experiment for both species. The hiding behaviour in both species of freshwater turtles was consistent over time and, therefore, could be regarded as a personality trait. However, the differences in waiting times consistency suggested possible differences in defensive strategies between sexes and species. © 2018 Elsevier B.V.","Anti-predator trials; Emys orbicularis; Hiding behaviour; Mauremys leprosa; Personality traits; Righting efficiency","Animalia; Emys orbicularis; Mauremys leprosa; Testudines","Pellitteri-Rosa, D.; Dipartimento di Scienze della Terra e dell'Ambiente, Università di Pavia, Via Ferrata 9, Italy; email: masterfauna@unipv.it",,"Elsevier B.V.",03766357,,BPROD,,"English","Behav. Processes",Article,,Scopus,2-s2.0-85054170887
"Hardman S.I., Dalesman S.","57095651600;12789303100;","Repeatability and degree of territorial aggression differs among urban and rural great tits (Parus major)",2018,"Scientific Reports","8","1", 5042,"","",,1,"10.1038/s41598-018-23463-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044354445&doi=10.1038%2fs41598-018-23463-7&partnerID=40&md5=828041a48c72dbafb94081757965b500","Institute of Biological, Environmental and Rural Sciences, Aberystwyth University, Aberystwyth, SY23 3DA, United Kingdom; Communication and Social Behaviour Group, Max Planck Institute for Ornithology, Seewiesen, 82319, Germany","Hardman, S.I., Institute of Biological, Environmental and Rural Sciences, Aberystwyth University, Aberystwyth, SY23 3DA, United Kingdom, Communication and Social Behaviour Group, Max Planck Institute for Ornithology, Seewiesen, 82319, Germany; Dalesman, S., Institute of Biological, Environmental and Rural Sciences, Aberystwyth University, Aberystwyth, SY23 3DA, United Kingdom","Animals in urban habitats face many novel selection pressures such as increased human population densities and human disturbance. This is predicted to favour bolder and more aggressive individuals together with greater flexibility in behaviour. Previous work has focussed primarily on studying these traits in captive birds and has shown increased aggression and reduced consistency between traits (behavioural syndromes) in birds from urban populations. However, personality (consistency within a behavioural trait) has not been well studied in the wild. Here we tested whether urban free-living male great tits show greater territorial aggression than rural counterparts. We also tested predictions that both behavioural syndromes and personality would show lower consistency in urban populations. We found that urban populations were more aggressive than rural populations and urban birds appeared to show lower levels of individual behavioural repeatability (personality) as predicted. However, we found no effect of urbanisation on behavioural syndromes (correlations between multiple behavioural traits). Our results indicate that urban environments may favour individuals which exhibit increased territorial aggression and greater within-trait flexibility which may be essential to success in holding urban territories. Determining how urban environments impact key fitness traits will be important in predicting how animals cope with ongoing urbanisation. © 2018 The Author(s).",,,"Hardman, S.I.; Institute of Biological, Environmental and Rural Sciences, Aberystwyth UniversityUnited Kingdom; email: samuelhardman@hotmail.com",,"Nature Publishing Group",20452322,,,,"English","Sci. Rep.",Article,Open Access,Scopus,2-s2.0-85044354445
"Qu J., Fletcher Q.E., Réale D., Li W., Zhang Y.","36681374200;7801600431;7003966243;42361385600;56803992700;","Independence between coping style and stress reactivity in plateau pika",2018,"Physiology and Behavior","197",,,"1","8",,,"10.1016/j.physbeh.2018.09.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053783563&doi=10.1016%2fj.physbeh.2018.09.007&partnerID=40&md5=5327599df842d6c0247df1d8ad298974","Key Laboratory of Adaptation and Evolution of Plateau Biota, Northwest Institute of Plateau Biology, Chinese Academy of Sciences, Qinghai, 810008, China; Department of Biology, The University of Winnipeg, Winnipeg, MB, Canada; Département des Sciences Biologiques, Université du Québec à Montréal, Montréal, QC, Canada; Qinghai Provincial Key Laboratory of Restoration Ecology in Cold Region, Qinghai, 810008, China","Qu, J., Key Laboratory of Adaptation and Evolution of Plateau Biota, Northwest Institute of Plateau Biology, Chinese Academy of Sciences, Qinghai, 810008, China, Qinghai Provincial Key Laboratory of Restoration Ecology in Cold Region, Qinghai, 810008, China; Fletcher, Q.E., Department of Biology, The University of Winnipeg, Winnipeg, MB, Canada; Réale, D., Département des Sciences Biologiques, Université du Québec à Montréal, Montréal, QC, Canada; Li, W., Key Laboratory of Adaptation and Evolution of Plateau Biota, Northwest Institute of Plateau Biology, Chinese Academy of Sciences, Qinghai, 810008, China; Zhang, Y., Key Laboratory of Adaptation and Evolution of Plateau Biota, Northwest Institute of Plateau Biology, Chinese Academy of Sciences, Qinghai, 810008, China","The concept of coping style represents the way individual animals react to a stressful situation, both behaviourally and neurophysiologically. Over the last decades coping style has been linked to the development of research on animal personality. Based on this concept, we should find a proactive-reactive continuum in animal populations, with proactive individuals being fast explorer, bold, aggressive, and show high sympathetic reactivity (higher heart rate), as well as low hypothalamus-pituitary-adrenocortical (PHA) axis reactivity to external stressor (higher plasma glucocorticoid level). At the other extreme, shy, lowly aggressive, reactive individuals should be slow in their exploration, and show a low sympathetic reactivity and a high HPA axis reactivity. However, a recent two-tier model proposed that coping style and stress reactivity should be independent of each other. In this study, we tested the two-tier model in a wild plateau pika (Ochotona curzoniae) population on the Tibetan Plateau, by quantifying the associations between several behavioural and physiological traits at the among- and within-individual levels. We repeatedly measured exploration, docility, boldness, heart rate and plasma cortisol concentration in individuals between April and September of 2013. All traits tested were repeatable. At the among-individual level, all behavioural traits were correlated with each other and with heart rate, but were independent of both basal level and variation of plasma cortisol concentration. Most correlations were negligible at the within-individual level. In support of the two-tier model, these results suggest that coping style (i.e. behaviour and heart rate associations) is independent of stress reactivity (i.e. glucocorticoid reactivity) in that species. © 2018","Coping styles; Personality; Plateau pika; Stress reactivity; Tibetan Plateau","hydrocortisone; animal behavior; animal experiment; animal trapping; Article; body mass; controlled study; coping behavior; exploratory behavior; heart rate; hydrocortisone blood level; hypothalamus hypophysis adrenal system; mammal; nonhuman; Ochotona curzoniae; priority journal; stress","Qu, J.; Key Laboratory of Adaptation and Evolution of Plateau Biota, Northwest Institute of Plateau Biology, Chinese Academy of SciencesChina; email: jpqu@nwipb.cas.cn",,"Elsevier Inc.",00319384,,PHBHA,"30236525","English","Physiol. Behav.",Article,,Scopus,2-s2.0-85053783563
"Masilkova M., Weiss A., Konečná M.","57203801658;7402247656;25649665700;","How long does it take? Reliable personality assessment based on common behaviour in cotton-top tamarins (Saguinus oedipus)",2018,"Behavioural Processes","157",,,"59","67",,,"10.1016/j.beproc.2018.08.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053013399&doi=10.1016%2fj.beproc.2018.08.009&partnerID=40&md5=daceadf10eb3d85aae162fa420f93dab","Department of Zoology, Faculty of Science, University of South Bohemia, Branišovská 1760, České Budějovice, 37005, Czech Republic; Department of Psychology, School of Philosophy, Psychology and Language Sciences, The University of Edinburgh, 7 George Square, Edinburgh, EH8 9JZ, United Kingdom; Scottish Primate Research Group, United Kingdom","Masilkova, M., Department of Zoology, Faculty of Science, University of South Bohemia, Branišovská 1760, České Budějovice, 37005, Czech Republic; Weiss, A., Department of Psychology, School of Philosophy, Psychology and Language Sciences, The University of Edinburgh, 7 George Square, Edinburgh, EH8 9JZ, United Kingdom, Scottish Primate Research Group, United Kingdom; Konečná, M., Department of Zoology, Faculty of Science, University of South Bohemia, Branišovská 1760, České Budějovice, 37005, Czech Republic","Individual variation in behaviour has been shown to have important ecological and evolutionary consequences. Research on animal personality has therefore received considerable attention, yet some methodological issues remain unresolved. We tested whether assessing personality by coding common behaviours is as time-consuming method as some researchers believe it to be. Altogether, 300 hours of observation were collected on 20 captive cotton-top tamarins (Saguinus oedipus). We first examined the repeatability of behavioural indices that represented the behavioural repertoire of cotton-top tamarins. We then compared the personality structures, based on different lengths of observation time, of these behavioural indices. The minimum observational time necessary to obtain a stable personality structure was 5 to 7 hours per individual. This stable structure included two components: Extraversion and Confidence, which were similar to those described in great apes, Old World monkeys, and other New World monkeys. Our findings suggest that, at least in the case of cotton-top tamarins, behavioural coding over relatively short periods of time can be used to assess personality and that longer observation periods may yield diminishing returns. © 2018 Elsevier B.V.","Animal personality; Behavioural observation; Callitrichidae; Consistency; Continuous focal recording","assessment method; behavioral ecology; behavioral response; individual variation; primate; aggression; animal behavior; animal experiment; Article; behavioral observation; Cercopithecidae; comparative study; extraversion; female; male; nonhuman; personality; personality assessment; Platyrrhini; Saguinus; Saguinus oedipus; social behavior; social interaction; Animalia; Callitrichidae; Cercopithecidae; Hominidae; Platyrrhini; Saguinus oedipus","Masilkova, M.; Department of Zoology, Faculty of Science, University of South Bohemia, Branišovská 1760, Czech Republic; email: michaela.masilkova@gmail.com",,"Elsevier B.V.",03766357,,BPROD,,"English","Behav. Processes",Article,,Scopus,2-s2.0-85053013399
"Sheldon E.L., Griffith S.C.","57197743046;7007140323;","Embryonic heart rate predicts prenatal development rate, but is not related to post-natal growth rate or activity level in the zebra finch (Taeniopygia guttata)",2018,"Ethology","124","11",,"829","837",,,"10.1111/eth.12817","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055445203&doi=10.1111%2feth.12817&partnerID=40&md5=906bbdc4eb6ce07a960b347fa3113f4d","Department of Biological Sciences, Macquarie University, Sydney, NSW, Australia; School of Biological, Earth and Environmental Sciences, University of New South Wales, Sydney, NSW, Australia","Sheldon, E.L., Department of Biological Sciences, Macquarie University, Sydney, NSW, Australia; Griffith, S.C., Department of Biological Sciences, Macquarie University, Sydney, NSW, Australia, School of Biological, Earth and Environmental Sciences, University of New South Wales, Sydney, NSW, Australia","Inter-individual variation in behaviour has been the focus of much recent work, yet the underlying mechanisms that cause and maintain this variation are unclear. It has been proposed that consistent individual differences in metabolism could be related to inter-individual variation in behaviour and development throughout life. Here, we tested this idea in the zebra finch (Taeniopygia guttata), by investigating whether embryonic heart rate (a proxy for metabolic rate) is associated with prenatal developmental rates, post-natal activity levels and post-natal growth rates. Embryonic heart rate and post-natal activity level were significantly repeatable throughout an individual's development, such that consistent individual differences in these traits could be distinguished. We detected a significant, negative relationship between embryonic heart rate and incubation duration. However, we did not detect any relationship between embryonic heart rate, post-natal activity levels or post-natal growth rates. Our findings are significant because they identify consistent individual differences in embryonic metabolic phenotype and post-natal traits. However, we were unable to identify any correlation between the pre- and post-natal phenotypes suggesting that either intrinsic metabolic differences do not persist across the developmental boundary of hatching or such differences become obscured by parental or environmental effects after hatching. Our findings raise a number of questions about possible selection on metabolic phenotypes, both before and after hatching, and why developmental trajectories before and after hatching are apparently unlinked. © 2018 Blackwell Verlag GmbH","behaviour; consistent individual differences; incubation duration; inter-individual variation; metabolic rate; ontogenic boundaries","Taeniopygia guttata","Sheldon, E.L.; Department of Biological Sciences, Macquarie UniversityAustralia; email: elizabeth-louise.sheldon@students.mq.edu.au",,"Blackwell Publishing Ltd",01791613,,ETHOE,,"English","Ethology",Article,,Scopus,2-s2.0-85055445203
"Niemelä P.T., Dingemanse N.J.","37059410000;6602293321;","On the usage of single measurements in behavioural ecology research on individual differences",2018,"Animal Behaviour","145",,,"99","105",,,"10.1016/j.anbehav.2018.09.012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054850183&doi=10.1016%2fj.anbehav.2018.09.012&partnerID=40&md5=ffe428cfa1f54fff8976da05c09ccd18","Behavioural Ecology, Department of Biology, Ludwig-Maximilians University of Munich, Planegg-Martinsried, Germany","Niemelä, P.T., Behavioural Ecology, Department of Biology, Ludwig-Maximilians University of Munich, Planegg-Martinsried, Germany; Dingemanse, N.J., Behavioural Ecology, Department of Biology, Ludwig-Maximilians University of Munich, Planegg-Martinsried, Germany","Since the early 21st century, behavioural ecologists have increasingly focused on the ecology and evolution of repeatable individual differences in behaviour (aka ‘animal personality’). More and more studies have investigated correlations between behaviour(s) and other phenotypic traits, thereby seeking to understand among-individual variation in behaviour from either a proximate or an ultimate perspective. Statistically, such studies require the estimation of among-individual correlations, necessitating study designs where suites of labile traits are repeatedly assayed. Most published studies, by contrast, instead assume that among-individual correlations can be approximated using data of suites of phenotypic traits measured only once. Such studies take an ‘individual gambit’ as they assume that phenotypic correlations between two traits measured once match among-individual correlations. A literature survey shows that this assumption was made in 62% of empirical studies; this is a worrying trend as a mismatch between the research question and the study (or statistical) design can lead to biased conclusions about biological patterns. In this paper we use a visual approach to illustrate these concerns for a broad audience, thereby complementing previous papers using a jargon more suitable for the statistically oriented. We thereby seek to reiterate the notion that reliable answers to any scientific question require specific types of data. While this commentary underlines the importance of spelling out key assumptions in discussions of (suboptimal) data in scientific papers on individuality, our main message is that researchers should typically be able to avoid publishing studies with conclusions heavily hinging on unverifiable assumptions. This is because researchers normally have the freedom to decide a priori to focus their research towards questions for which appropriate data can arguably be collected. Doing so would greatly facilitate our ability to robustly address key questions of biological interest, such as the ecology and evolution of individuality. © 2018 The Association for the Study of Animal Behaviour","among-individual variation; animal behaviour; animal personality; correlation; individual gambit; repeatability","Animalia","Niemelä, P.T.; Behavioural Ecology, Department of Biology, Ludwig-Maximilians University of MunichGermany; email: petri.t.niemela@gmail.com",,"Academic Press",00033472,,ANBEA,,"English","Anim. Behav.",Note,,Scopus,2-s2.0-85054850183
"Väätäinen R., Huuskonen H., Hyvärinen P., Kekäläinen J., Kortet R., Arnedo M.T., Vainikka A.","57204088926;7003846670;55915531700;33167583000;6701713060;57204091183;6602867368;","Do Metabolic Traits, Vulnerability to Angling, or Capture Method Explain Boldness Variation in Eurasian Perch?",2018,"Physiological and biochemical zoology : PBZ","91","6",,"1115","1128",,,"10.1086/700434","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054441931&doi=10.1086%2f700434&partnerID=40&md5=0029708cd4d1d0f9e18ba742de90d3d6",,"Väätäinen, R.; Huuskonen, H.; Hyvärinen, P.; Kekäläinen, J.; Kortet, R.; Arnedo, M.T.; Vainikka, A.","The pace-of-life syndrome (POLS) concept predicts that individuals with high baseline metabolic rates demonstrate high boldness, aggressiveness, and activity, especially in food acquisition, with associated relatively greater energy requirements. In fishes, these behaviors may increase individual vulnerability to angling. To test the predictions of the POLS concept, we quantified individual standard metabolic rate (SMR) and boldness in both wild-caught and hatchery-reared Eurasian perch (Perca fluviatilis). We found both SMR and boldness to be repeatable traits but detected no correlation between them. Individual vulnerability to angling was assessed in the hatchery-reared perch, but we found no difference in boldness or SMR between vulnerable and nonvulnerable perch. Wild-caught perch were ice fished using either natural or artificial bait, and we observed no differences in boldness or SMR with respect to bait type or capture order. Our findings do not support the predictions of the POLS concept and, consistent with earlier studies in perch, suggest that angling may not drive selection against boldness in this species.","growth rate; personality; recreational fishing; standard metabolic rate; thyroxine",,,,"NLM (Medline)",15375293,,,"30295572","English","Physiol. Biochem. Zool.",Article,,Scopus,2-s2.0-85054441931
"O’Neill S.J., Williamson J.E., Tosetto L., Brown C.","57203945952;7403200273;57192274080;7408312006;","Effects of acclimatisation on behavioural repeatability in two behaviour assays of the guppy Poecilia reticulata",2018,"Behavioral Ecology and Sociobiology","72","10", 166,"","",,,"10.1007/s00265-018-2582-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053679503&doi=10.1007%2fs00265-018-2582-7&partnerID=40&md5=8a647f54b7b19c6fde44b4811ce0ef2a","Macquarie University, Sydney, NSW  2109, Australia","O’Neill, S.J., Macquarie University, Sydney, NSW  2109, Australia; Williamson, J.E., Macquarie University, Sydney, NSW  2109, Australia; Tosetto, L., Macquarie University, Sydney, NSW  2109, Australia; Brown, C., Macquarie University, Sydney, NSW  2109, Australia","Abstract: Establishing behavioural repeatability is important in animal personality research; however, a range of factors can influence repeatability. Experimental design, particularly acclimation time, is important in managing a subject’s stress prior to the onset of behavioural observations. Acclimatisation also ensures we capture “normal” behaviour and promotes consistency in the subject’s responses between observations. The importance of acclimatisation prior to an assay is widely recognised by animal researchers; however, acclimation time varies dramatically across personality studies. Here, we investigated the effects of acclimatisation time on the repeatability of activity and emergence behaviour in feral and domestic populations of lab-reared guppy, Poecilia reticulata. Contrary with expectations and previous findings, we found highest repeatability in guppy activity levels after 2 h of acclimation to the test arena. In the emergence assay, fish exposed to 10 min of acclimatisation showed highest repeatability; however, all acclimation periods produced high repeatability, suggesting that the emergence assay generates robust behavioural responses irrespective of acclimation time. The outcomes were broadly consistent across both populations. These results show that methodology can impact the findings of animal personality research and needs to be considered carefully for each assay. We recommend that researchers investigate appropriate acclimatisation times for their study species prior to commencing research. Significance statement: Animal personality is individual differences in behaviour that are maintained through time and across contexts. Thus, demonstrating the repeatability of behavioural differences between individuals is imperative to establishing animal personality. To estimate repeatability, individuals are assessed multiple times on the same task to ensure there are consistent differences between individuals. When carrying out repeated observations, acclimatisation time should be considered to minimise stress levels of an animal prior to the behavioural assay. We assessed a range of acclimation times on emergence and activity behaviour in two populations of guppies. While individual variation in emergence behaviour was repeatable across a range of acclimation times, activity levels in guppies became significantly more repeatable after 2 h of acclimatisation. These results show that considering proper acclimation time is important when performing behavioural experiments and should be properly calibrated by researchers prior to conducting personality research. © 2018, Springer-Verlag GmbH Germany, part of Springer Nature.","Activity; Behavioural plasticity; Emergence; Methodology; Personality; Population","Animalia; Poecilia reticulata","Tosetto, L.; Macquarie UniversityAustralia; email: louise.tosetto@mq.edu.au",,"Springer Verlag",03405443,,BESOD,,"English","Behav. Ecol. Sociobiol.",Article,,Scopus,2-s2.0-85053679503
"Vanden Broecke B., Borremans B., Mariën J., Makundi R.H., Massawe A.W., Leirs H., Hughes N.K.","57200534674;36157031500;57193230583;57191330635;14034289500;7004232697;7102581024;","Does exploratory behavior or activity in a wild mouse explain susceptibility to virus infection?",2018,"Current Zoology","64","5",,"585","592",,,"10.1093/cz/zox053","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054996489&doi=10.1093%2fcz%2fzox053&partnerID=40&md5=2d0c852cc1b8e46146152cc3ffadb0ce","Evolutionary Ecology Group, Department of Biology, University of Antwerp, Antwerp, 2610, Belgium; Department of Ecology and Evolutionary Biology, University of California Los Angeles, Los Angeles, CA  90095-1606, United States; Pest Management Center, Sokoine University of Agriculture, Chuo Kikuu, Morogoro, 3110, Tanzania","Vanden Broecke, B., Evolutionary Ecology Group, Department of Biology, University of Antwerp, Antwerp, 2610, Belgium; Borremans, B., Evolutionary Ecology Group, Department of Biology, University of Antwerp, Antwerp, 2610, Belgium, Department of Ecology and Evolutionary Biology, University of California Los Angeles, Los Angeles, CA  90095-1606, United States; Mariën, J., Evolutionary Ecology Group, Department of Biology, University of Antwerp, Antwerp, 2610, Belgium; Makundi, R.H., Pest Management Center, Sokoine University of Agriculture, Chuo Kikuu, Morogoro, 3110, Tanzania; Massawe, A.W., Pest Management Center, Sokoine University of Agriculture, Chuo Kikuu, Morogoro, 3110, Tanzania; Leirs, H., Evolutionary Ecology Group, Department of Biology, University of Antwerp, Antwerp, 2610, Belgium; Hughes, N.K., Evolutionary Ecology Group, Department of Biology, University of Antwerp, Antwerp, 2610, Belgium","Exploration and activity are often described as trade-offs between the fitness benefits of gathering information and resources, and the potential costs of increasing exposure to predators and parasites. More exploratory individuals are predicted to have higher rates of parasitism, but this relationship has rarely been examined for virus infections in wild populations. Here, we used the multimammate mouse Mastomys natalensis to investigate the relationship between exploration, activity, and infection with Morogoro virus (MORV). We characterized individual exploratory behavior (open field and novel object tests) and activity (trap diversity), and quantified the relationship between these traits and infection status using linear regression. We found that M. natalensis expresses consistent individual differences, or personality types, in exploratory behavior (repeatability of 0.30, 95% CI: 0.21-0.36). In addition, we found a significant contrasting effect of age on exploration and activity where juveniles display higher exploration levels than adults, but lower fieldactivity. There was however no statistical evidence for a behavioral syndrome between these 2 traits. Contrary to our expectations, we found no correlation between MORV infection status and exploratory behavior or activity, which suggests that these behaviors may not increase exposure probability to MORV infection. This would further imply that variation in viral infection between individuals is not affected by between-individual variation in exploration and activity. © The Author (2017). Published by Oxford University Press.","Animal personality; Arenavirus; Disease ecology; Exploration; Mastomys natalensis; Morogoro virus",,"Vanden Broecke, B.; Evolutionary Ecology Group, Department of Biology, University of AntwerpBelgium; email: bram.vdbroecke@gmail.com",,"Oxford University Press",16745507,,TWHPA,,"English","Curr. Zool.",Article,Open Access,Scopus,2-s2.0-85054996489
