key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes
1460,Environment-dependence of behavioural consistency in adult male European green lizards (Lacerta viridis),2017,1,1,PLOS ONE,"",12,,NA,"Horvath, Gergely and Meszaros, Boglarka and Urszan, Tamas Janos and Bajer, Katalin and Molnar, Orsolya and Zsolt Garamszegi, Laszlo and Herczeg, Gabor",10.1371/journal.pone.0187657,,,,"Understanding the background mechanisms affecting the emergence and maintenance of consistent between-individual variation within population in single (animal personality) or across multiple (behavioural syndrome) behaviours has key importance. State-dependence theory suggests that behaviour is `anchored' to individual state (e.g. body condition, gender, age) and behavioural consistency emerges through behavioural-state feedbacks. A number of relevant state variables are labile (e.g. body condition, physiological performance) and expected to be affected by short-term environmental change. Yet, whether short-term environmental shifts affect behavioural consistency during adulthood remains questionable. Here, by employing a full-factorial laboratory experiment, we explored if quantity of food (low vs. high) and time available for thermoregulation (3h vs. 10h per day) had an effect on activity and risk-taking of reproductive adult male European green lizards (Lacerta viridis). We focussed on different components of behavioural variation: (i) strength of behavioural consistency (repeatability for animal personality; between-individual correlation for behavioural syndrome), (ii) behavioural type (individual mean behaviour) and (iii) behavioural predictability (within-individual behavioural variation). Activity was repeatable in all treatments. Risktaking was repeatable only in the low basking treatments. We found significant between-individual correlation only in the low food x long basking time group. The treatments did not affect behavioural type, but affected behavioural predictability. Activity predictability was higher in the short basking treatment, where it also decreased with size (approximate to age). Risk-taking predictability in the short basking treatment increased with size under food limitation, but decreased when food supply was high. We conclude that short-term environmental change can alter various components of behavioural consistency. The effect could be detected in the presence/absence patterns of animal personality and behavioural syndrome and the level of individual behavioural predictability, but not in behavioural type."," RAYYAN-INCLUSION: {""Martin""=>false} | RAYYAN-EXCLUSION-REASONS: lab"
X.ISI.000334436200010,"How stable are personalities? A multivariate view of behavioural variation over long and short timescales in the sheepshead swordtail, Xiphophorus birchmanni",2014,1,1,BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,"",68,,791-803,"Boulton, Kay and Grimmer, Andrew J. and Rosenthal, Gil G. and Walling, Craig A. and Wilson, Alastair J.",10.1007/s00265-014-1692-0,,,,"Many studies have revealed repeatable (among-individual) variance in behavioural traits consistent with variation in animal personality; however, these studies are often conducted using data collected over single sampling periods, most commonly with short time intervals between observations. Consequently, it is not clear whether population-level patterns of behavioural variation are stable across longer timescales and/or multiple sampling periods or whether individuals maintain consistent ranking of behaviours (and/or personality) over their lifetimes. Here, we address these questions in a captive-bred population of a tropical freshwater poeciliid fish, Xiphophorus birchmanni. Using a multivariate approach, we estimate the among-individual variance-covariance matrix (I), for a set of behavioural traits repeatedly assayed in two different experimental contexts (open-field trials, emergence and exploration trials) over long-term (56 days between observations) and short-term (4-day observation interval) time periods. In both long- and short-term data sets, we find that traits are repeatable and the correlation structure of I is consistent with a latent axis of variation in boldness. While there are some qualitative differences in the way individual traits contribute to boldness and a tendency towards higher repeatabilities in the short-term study, overall, we find that population-level patterns of among-individual behavioural (co)variance to be broadly similar over both time frames. At the individual level, we find evidence that short-term studies can be informative for an individual's behavioural phenotype over longer (e.g. lifetime) periods. However, statistical support is somewhat mixed and, at least for some observed behaviours, relative rankings of individual performance change significantly between data sets."," RAYYAN-INCLUSION: {""Martin""=>true} | RAYYAN-LABELS: long timescale"
X.ISI.000252772700002,Consistent individual differences in the foraging behaviour of forest tent caterpillars (Malacosoma disstria),2007,1,1,CANADIAN JOURNAL OF ZOOLOGY-REVUE CANADIENNE DE ZOOLOGIE,"",85,,1117-1124,"Nerniroff, L. and , Despl and , E.",10.1139/Z07-081,,,,"Outbreaking insects are often considered identical units despite recent work in behavioural ecology that shows repeatable differences can exist between individuals and can have important implications for individual fitness and population processes. However, although entomologists have neglected the hypothesis that differences between individuals can play an important role in the ecology of a species, it is not new. Wellington (1957. Can. J. Zool. 35: 293-323) suggested that consistent individual differences in behaviour may play a role in the population dynamics of Malacosoma (Hubner, 1820) species (Lepidoptera: Lasiocampidae). We used a novel approach to determine if individual larval Malacosoma disstria Hubner, 1820 exhibit distinct and repeatable behavioural traits. Second-instar caterpillars were placed on individual arenas for I h on 4 consecutive days, and the proportion of time spent walking, searching, quiescent, and eating was documented. Active and sluggish behavioural types were distinguished and stable differences in individual activity were observed. Activity was positively correlated with growth during the 4 days of the experiment, but no significant relationship was detected between behaviour during the experiment and overall larval performance in the laboratory setting. These findings demonstrate consistent variation in the foraging behaviour of forest tent caterpillars and lay the basis for further investigatison of its role in colony function and population dynamics."," RAYYAN-INCLUSION: {""Martin""=>true} | RAYYAN-LABELS: multiple measurements"
X.ISI.000374768300035,Context-dependent effects of complex environments on behavioral plasticity,2016,1,1,BEHAVIORAL ECOLOGY,"",27,,237-244,"Stahlschmidt, Zachary R. and Holcomb, Lindsey M. and Luoma, Rachel L.",10.1093/beheco/arv147,,,,"Although individual environmental factors influence behavioral plasticity, animals live in complex environments wherein multiple environmental factors vary simultaneously. Here, we investigated whether temperature and food intake independently or interactively affected the boldness and feeding behavior of juvenile corn snakes (Pantherophis guttatus, Linnaeus). Because thermal environments in which animals can behaviorally thermoregulate by moving among microclimates are likely more realistic and ecologically relevant than fluctuating or constant temperature regimes, we manipulated the availability of preferred thermal microclimates (control vs. warm regimes) for 8 weeks and allowed individuals to move among microclimates. By also manipulating food intake and controlling for phenotypic repeatability of behavior, we demonstrate context-specific effects of temperature and food intake on behavioral plasticity. Temperature and food intake independently affected feeding behavior (i.e., unidimensional plasticity), but these factors interactively affected boldness in an open arena (i.e., multidimensional plasticity). Clearly, complex environments can exert multifaceted effects on behavior. Therefore, examining the effects of individual environmental factors (e.g., temperature or food availability) may be an overly simplistic approach to understanding how animals respond to rapidly changing environments."," RAYYAN-INCLUSION: {""Martin""=>false} | RAYYAN-EXCLUSION-REASONS: r as side-effect"
X.ISI.000354614400003,Individual consistency in the behaviors of newly-settled reef fish,2015,1,1,PEERJ,,3,,NA,"White, James R. and Meekan, Mark G. and McCormick, Mark I.",10.7717/peerj.961,,,,"Flexibility in behavior is advantageous for organisms that transition between stages of a complex life history. However, various constraints can set limits on plasticity, giving rise to the existence of personalities that have associated costs and benefits. Here, we document a field and laboratory experiment that examines the consistency of measures of boldness, activity, and aggressive behavior in the young of a tropical reef fish, Pomacentrus amboinensis (Pomacentridae) immediately following their transition between pelagic larval and benthic juvenile habitats. Newly-settled fish were observed in aquaria and in the field on replicated patches of natural habitat cleared of resident fishes. Seven behavioral traits representing aspects of boldness, activity and aggression were monitored directly and via video camera over short (minutes), medium (hours), and long (3 days) time scales. With the exception of aggression, these behaviors were found to be moderately or highly consistent over all time scales in both laboratory and field settings, implying that these fish show stable personalities within various settings. Our study is the first to examine the temporal constancy of behaviors in both field and laboratory settings in over various time scales at a critically important phase during the life cycle of a reef fish."," RAYYAN-INCLUSION: {""Martin""=>true} | RAYYAN-LABELS: multiple measurements"
Vaatainen_2018_PHYANDBIOZOO,"Do Metabolic Traits, Vulnerability to Angling, or Capture Method Explain Boldness Variation in Eurasian Perch?",2018,1,1,PHYSIOLOGICAL AND BIOCHEMICAL ZOOLOGY,"",91,,1115-1128,"Vaatainen, Reetta and Huuskonen, Hannu and Hyvarinen, Pekka and Kekalainen, Jukka and Kortet, Raine and Torrehas Arnedo, Marina and Vainikka, Anssi",10.1086/700434,,NA,"","The pace-of-life syndrome (POLS) concept predicts that individuals with high baseline metabolic rates demonstrate high boldness, aggressiveness, and activity, especially in food acquisition, with associated relatively greater energy requirements. In fishes, these behaviors may increase individual vulnerability to angling. To test the predictions of the POLS concept, we quantified individual standard metabolic rate (SMR) and boldness in both wild-caught and hatchery-reared Eurasian perch (Perca fluviatilis). We found both SMR and boldness to be repeatable traits but detected no correlation between them. Individual vulnerability to angling was assessed in the hatchery-reared perch, but we found no difference in boldness or SMR between vulnerable and nonvulnerable perch. Wild-caught perch were ice fished using either natural or artificial bait, and we observed no differences in boldness or SMR with respect to bait type or capture order. Our findings do not support the predictions of the POLS concept and, consistent with earlier studies in perch, suggest that angling may not drive selection against boldness in this species."," RAYYAN-INCLUSION: {""Martin""=>true}"
Vanden.Broecke_2018_CURRZOOL,Does exploratory behavior or activity in a wild mouse explain susceptibility to virus infection?,2018,1,1,CURRENT ZOOLOGY,"",64,,585-592,", V and en Broecke, Bram and Borremans, Benny and Marien, Joachim and Makundi, Rhodes H. and Massawe, Apia W. and Leirs, Herwig and Hughes, Nelika K.",10.1093/cz/zox053,,NA,"","Exploration and activity are often described as trade-offs between the fitness benefits of gathering information and resources, and the potential costs of increasing exposure to predators and parasites. More exploratory individuals are predicted to have higher rates of parasitism, but this relationship has rarely been examined for virus infections in wild populations. Here, we used the multimammate mouse Mastomys natalensis to investigate the relationship between exploration, activity, and infection with Morogoro virus (MORV). We characterized individual exploratory behavior (open field and novel object tests) and activity (trap diversity), and quantified the relationship between these traits and infection status using linear regression. We found that M. natalensis expresses consistent individual differences, or personality types, in exploratory behavior (repeatability of 0.30, 95\% CI: 0.21-0.36). In addition, we found a significant contrasting effect of age on exploration and activity where juveniles display higher exploration levels than adults, but lower fieldactivity. There was however no statistical evidence for a behavioral syndrome between these 2 traits. Contrary to our expectations, we found no correlation between MORV infection status and exploratory behavior or activity, which suggests that these behaviors may not increase exposure probability to MORV infection. This would further imply that variation in viral infection between individuals is not affected by between-individual variation in exploration and activity."," RAYYAN-INCLUSION: {""Martin""=>true}"
Foris_2018_PLOONE,Evaluating the temporal and situational consistency of personality traits in adult dairy cattle,2018,1,1,PLOS ONE,"",13,,NA,"Foris, Borbala and Zebunke, Manuela and Langbein, Jan and Melzer, Nina",10.1371/journal.pone.0204619,,NA,"","Recent research suggests that personality, defined as consistent individual behavioral variation, in farm animals could be an important factor when considering their health, welfare, and productivity. However, behavioral tests are often performed individually and they might not reflect the behavioral differences manifested in every-day social environments. Furthermore, the contextual and longer-term temporal stability of personality traits have rarely been investigated in adult dairy cattle. In this study, we tested three groups of lactating Holstein cows (40 cows) using an individual arena test and a novel object test in groups to measure the contextual stability of behavior. Among the recorded individual test parameters, we used seven in the final analysis, which were determined by a systematic parameter reduction procedure. We found positive correlations between novel object contact duration in the group test and individual test parameters object contact duration (R-s = 0.361, P = 0.026) and movement duration (R-s = 0.336, P = 0.039). Both tests were repeated 6 months later to investigate their temporal stability whereby four individual test parameters were repeatable. There was no consistency in the group test results for 25 cows tested twice, possibly due to group composition changes. Furthermore, based on the seven individual test parameters, two personality traits (activity/exploration and boldness) were identified by principal component analysis. We found a positive association between the first and second tests for activity/exploration (R-s = 0.334, P = 0.058) and for boldness (R-s = 0.491, P = 0.004). Our results support the multidimensional nature of personality in adult dairy cattle and they indicate a link between behavior in individual and within-group situations. The lack of stability according to the group test results implies that group companions might have a stronger influence on individual behavior than expected. We suggest repeating the within-group behavioral measurements to study the relationship between the social environment and the manifestation of personality traits in every-day situations."," RAYYAN-INCLUSION: {""Martin""=>true} | RAYYAN-LABELS: long timescale"
O.Neill_2018_BEHECOANDSOC,Effects of acclimatisation on behavioural repeatability in two behaviour assays of the guppy Poecilia reticulata,2018,1,1,BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,"",72,,NA,"O'Neill, Samuel J. and Williamson, Jane E. and Tosetto, Louise and Brown, Culum",10.1007/s00265-018-2582-7,,NA,"","Establishing behavioural repeatability is important in animal personality research; however, a range of factors can influence repeatability. Experimental design, particularly acclimation time, is important in managing a subject's stress prior to the onset of behavioural observations. Acclimatisation also ensures we capture normal behaviour and promotes consistency in the subject's responses between observations. The importance of acclimatisation prior to an assay is widely recognised by animal researchers; however, acclimation time varies dramatically across personality studies. Here, we investigated the effects of acclimatisation time on the repeatability of activity and emergence behaviour in feral and domestic populations of lab-reared guppy, Poecilia reticulata. Contrary with expectations and previous findings, we found highest repeatability in guppy activity levels after 2h of acclimation to the test arena. In the emergence assay, fish exposed to 10min of acclimatisation showed highest repeatability; however, all acclimation periods produced high repeatability, suggesting that the emergence assay generates robust behavioural responses irrespective of acclimation time. The outcomes were broadly consistent across both populations. These results show that methodology can impact the findings of animal personality research and needs to be considered carefully for each assay. We recommend that researchers investigate appropriate acclimatisation times for their study species prior to commencing research.Significance statementAnimal personality is individual differences in behaviour that are maintained through time and across contexts. Thus, demonstrating the repeatability of behavioural differences between individuals is imperative to establishing animal personality. To estimate repeatability, individuals are assessed multiple times on the same task to ensure there are consistent differences between individuals. When carrying out repeated observations, acclimatisation time should be considered to minimise stress levels of an animal prior to the behavioural assay. We assessed a range of acclimation times on emergence and activity behaviour in two populations of guppies. While individual variation in emergence behaviour was repeatable across a range of acclimation times, activity levels in guppies became significantly more repeatable after 2h of acclimatisation. These results show that considering proper acclimation time is important when performing behavioural experiments and should be properly calibrated by researchers prior to conducting personality research."," RAYYAN-INCLUSION: {""Martin""=>true}"
Goma_2018_APPLANIMBEHASCIE,A forced lateralisation test for dairy cows and its relation to their behaviour,2018,1,1,APPLIED ANIMAL BEHAVIOUR SCIENCE,,207,,8-19,"Goma, Amira A. and Pearce, Gareth P. and Uddin, Jashim and Rimon, Eloise and Davies, Harriet and Phillips, Clive J. C.",10.1016/j.applanim.2018.06.008,,NA,"","Dairy cows' emotional state can sometimes be inferred from their behaviour, for example previous studies have suggested that those passing a novel person to the right are more likely to be anxious than those passing to the left. We undertook two studies of cow behaviour as they passed a novel person, to validate these behaviours as emotional indicators, in addition to determining correlations to other indices of emotional state. Cows passing to the right were more likely to have a raised or tucked tail, sniff the ground, walk slowly and a faster exit when put in a crush, compared with those passing to the left, which had their ears held forwards. From a principal component analysis, it was determined that cows passing on the right side were also most likely to pass without turning their head towards the person, pass singly and defecate whilst passing. However, those passing to the left side were most likely to turn to look at the person and pass in pairs. Cows with high milk yields were more likely to pass on the right side. Measurements of side of passage were repeatable between experiments but those of ear position were not. It is concluded that side of passage past a person correlates with other behavioural indicators of the cow's emotional state, with those passing to the right (i.e. left eye/right brain hemisphere) apparently more anxious. Evidence was also provided that high yielding cows are more anxious, as assessed by right side passage. With further validation, side of passage past a person could be developed as a simple measure of emotional state in dairy cows that can be conducted under field conditions."," RAYYAN-INCLUSION: {""Martin""=>true}"
