"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"MUNEILVX","journalArticle","2011","Adamczyk, Krzysztof; Slania, Anna; Gil, Zygmunt; Felenczak, Andrzej; Bulla, Jozef","relationships between milk performance and behaviour of cows under loose housing conditions","ANNALS OF ANIMAL SCIENCE","","2300-8733","NA","","The aim of the study was to determine relationships between the milk performance and be of cows under the loose-housing system. Forty-nine Holstein-Friesian cows from the same technological group were investigated. The following parameters were analysed: milk yield and milking time at 4 successive milkings, body weight, age and health, hornedness/hornlessness, days from cow placement in the group, number of days from last calving, number of days from last oestrus, and number of days of pregnancy. The behavioural traits analysed were walking activity, the speed of cow approaching the feeding table, the order of cow entry into the milking parlour during milking, and cow temperament. Considerable repeatability was found for the order of the cows at different milkings, with no correlation between this trait and cows' milk yield. The speed of cow approaching the feeding table was not repeatable.","2011","2018-12-03 14:27:00","2018-12-03 14:27:00","","283-293","","","11","","","","","","","","","","","","","","","","","","","","","Milk","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D683P4MZ","journalArticle","2011","Adams, Nigel J.; Farnworth, Mark J.; Rickett, Jennifer; Parker, Kevin A.; Cockrem, John F.","behavioural and corticosterone responses to capture and confinement of wild blackbirds (turdus merula)","APPLIED ANIMAL BEHAVIOUR SCIENCE","","","10.1016/j.applanim.2011.07.001","","Capture and temporary confinement of wild birds are integral parts of wildlife management practice and research used, for example, during translocation or reintroduction initiatives. We report here on the behavioural and stress hormone (corticosterone) responses of wild blackbirds (Turdus merula) to capture and short-term confinement, partly consistent with some translocation protocols. We examine also the relationship between behaviour and plasma corticosterone concentrations. Acute capture induced responses in corticosterone concentration, integrated over 60 min, at the commencement and conclusion of a 22-day confinement in aviaries were similar at 669.1 +/- 66.6 (mean +/- S.E.) and 678.2 +/- 115.8 ng/mL/min respectively. However, base levels of corticosterone were higher at final release than at initial capture (6.8 and 2.2 ng/mL respectively, P < 0.001). This may reflect that the 3-week period of confinement is a chronic stressor. There was an increased propensity for locomotory behaviours (P = 0.001), maintenance behaviours (P = 0.032) and alarm vocalisations (P = 0.04) over the period of captivity. The frequency of alert behaviours (P < 0.001) decreased, probably related to habituation to captivity and possibly an associated decrease in perceived predation or starvation risk. Individual behavioural responses were generally repeatable across all observation days, with locomotory behaviours showing the highest repeatability (Repeatability = 0.592 +/- 0.084, P < 0.0001). Significant repeatabilities were also detected for corticosterone concentrations measured at 60 min after capture (Repeatability = 0.619 +/- 0.166, P = 0.0007) and corrected integrated corticosterone (Repeatability = 0.368 +/- 0.166, P = 0.039) measured on initial capture and on release. We used principle component analysis to generate a composite measure of locomotory, alert and vocalisation behaviours. This measure was positively correlated with corrected integrated corticosterone response at release (P = 0.019) when behaviour was summed across all observation days. Corrected integrated corticosterone response at initial capture (P = 0.049) was also correlated with this behavioural measure at 20 days after capture. This, in combination with the consistency in the behavioural and corticosterone responses across the period of captivity, may reflect individual differences in coping abilities to confinement that may ultimately predict post-translocation survival. (C) 2011 Elsevier B.V. All rights reserved.","2011","2018-12-03 14:27:01","2018-12-03 14:27:01","","246-255","","","134","","","","","","","","","","","","","","","","","","","/Users/martin/Zotero/storage/R9GWSE4M/adams2011.pdf","","Corticosterone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T56NWARL","journalArticle","2013","Akay, .; Campbell, S.E.; Beecher, M.D.","individual differences affect honest signalling in a songbird","Proceedings of the Royal Society B: Biological Sciences","","","10.1098/rspb.2013.2496","","Research in the past decade has established the existence of consistent individual differences or 'personality' in animals and their important role in many aspects of animal behaviour. At the same time, research on honest signalling of aggression has revealed that while some of the putative aggression signals are reliable, they are only imperfectly so. This study asks whether a significant portion of the variance in the aggression-signal regression may be explained by individual differences in signalling strategies. Using the wellstudied aggressive signalling system of song sparrows (Melospiza melodia), we carried out repeated assays to measure both aggressive behaviours and aggressive signalling of territorial males. Through these assays, we found that aggressive behaviours and aggressive signalling were both highly repeatable, and moreover that aggressive behaviours in 2009-2010 predicted whether the birds would attack a taxidermic mount over a year later. Most significantly, we found that residual variation in signalling behaviours, after controlling for aggressive behaviour, was individually consistent, suggesting there may be a second personality trait determining the level of aggressive signalling. We term this potential personality trait 'communicativeness' and discuss these results in the context of honest signalling theories and recent findings reporting prevalence of 'under-signalling'. 2013 The Author(s) Published by the Royal Society. All rights reserved.","2013","2018-12-03 14:27:01","2018-12-03 14:27:01","","NA","","","281","","","","","","","","","","","","","","","","","","","/Users/martin/Zotero/storage/Y3Y7AGMB/Akay et al. - 2013 - individual differences affect honest signalling in.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K5SFF2T2","journalArticle","2014","Alcalay, Yehonatan; Ovadia, Ofer; Scharf, Inon","behavioral repeatability and personality in pit-building antlion larvae under differing environmental contexts","BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY","","","10.1007/s00265-014-1804-x","","Over the last decades, there has been growing interest among behavioral ecologists in exploring animal personalities. However, while the foraging behavior of active foragers has been extensively studied, only little is known about that of sit-and-wait predators within the personality framework. We investigated the existence of repeatability and personality in pit-building antlion larvae in the context of foraging (pit construction) and habitat selection (relocation distance and direction) over time and under three environmental contexts: thermal conditions, sand depth, and soil type. Over time, repeatability was much stronger for relocation distance than for movement directionality. Additionally, we observed positive correlations across the two levels of sand depth and soil type but not between thermal conditions. Change in substrate type may induce faster decision-making in these sand-dwelling insects or could be perceived by such insects as a more drastic alteration in their habitat. We suggest that different individuals indeed possess distinct personalities. We also suggest that repeatability should be measured at two levels: the amount of energy expenditure (distances and pit construction) and the pattern of energy expenditure (directionality). Finally, our study illustrates how differing environmental conditions can result in differing levels of plasticity, while largely preserving individual personalities.","2014","2018-12-03 14:27:01","2018-12-03 14:27:01","","1985-1993","","","68","","","","","","","","","","","","","","","","","","","/Users/martin/Zotero/storage/3FNJV2MR/Alcalay et al. - 2014 - behavioral repeatability and personality in pit-bu.pdf","","Energy Metabolism; Larva","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CT8VHPHN","journalArticle","2015","Alcalay, Yehonatan; Scharf, Inon; Ovadia, Ofer","foraging syndromes and trait variation in antlions along a climatic gradient","OECOLOGIA","","","10.1007/s00442-015-3284-8","","Behavioral syndromes arise when individual behavior is correlated over time and/or across environmental contexts, often resulting in inter-population behavioral differences. Three main hypotheses have been suggested to explain the evolution of behavioral syndromes. The constraint hypothesis suggests that behaviors originate from a shared mechanism with a strong genetic or physiological basis. In contrast, according to the adaptive hypothesis, behavioral syndromes depend on specific selective pressures in each environment, and thus should evolve when specific behavioral combinations are advantageous. Finally, behavioral syndromes can also arise owing to neutral stochastic processes. We tested here for variation in the foraging syndromes of pit-building antlions originating from different populations along a climatic gradient. Although inter-population variation existed in some traits, foraging syndromes were similar across populations, supporting the constraint hypothesis. These findings suggest that stabilizing selection, acting on the foraging behavior of antlions during their larval phase, outweighs local selection pressures, resulting in “constraint syndromes.” We also explored behavioral repeatability of foraging-related traits within and among habitats (natural, novel and disturbed habitats), and detected different levels of repeatability: pit diameter was more repeatable than response time to prey, followed by prey exploitation efficiency. Behavioral repeatability of the same trait differed according to context, suggesting that repeatability is a trait in itself and should not be considered identical even when studying the same behavioral trait.","2015","2018-12-03 14:27:01","2018-12-03 14:27:01","","1093-1103","","","178","","","","","","","","","","","","","","","","","","","/Users/martin/Zotero/storage/DA5XYQ2Q/Alcalay et al. - 2015 - foraging syndromes and trait variation in antlions.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GUF3YCJ4","journalArticle","2017","Amy, Mathieu; Ung, Davy; Beguin, Nathalie; Leboucher, Gerard","personality traits and behavioural profiles in the domestic canary are affected by sex and photoperiod","ETHOLOGY","","","10.1111/eth.12662","","Personality traits and behavioural profiles are generally assumed to be stable in adulthood. Yet, it has been hypothesised that animals should cope with cyclical fluctuations by adjusting both single behaviours and suites of behaviour. Photoperiod is well known to induce hormonal and physiological changes, and these changes can in turn affect personality traits and behavioural profiles. This study is the first to explicitly investigate the influence of photoperiod on both behavioural profiles and personality traits. Six potential personality traits (within-flock activity, ability to escape, response to threat, isolation calling, boldness and neophobia) and dominance were measured four times in 96 domestic canaries Serinus canaria (48 males and 48 females): twice during a long photoperiod (Long Days) and 6months later twice during a short photoperiod (Short Days). Without regard to sex and photoperiod, most traits were highly repeatable, and bolder canaries were more dominant, less sensitive to an external threat and to isolation and less neophobic. In addition, the more active individuals within a flock were the more difficult to catch. Yet, both sex and photoperiod affected personality traits and behavioural profiles. Personality traits remained repeatable within each photoperiod though we observed behavioural plasticity and sex differences for response to threat, neophobia and within-flock activity. Concerning behavioural profiles, the negative relationship between boldness and neophobia remained homogenous in both sexes during Short Days as well as during Long Days. Then, the more active individuals within a flock were the more difficult to catch in Short Days but not in Long Days. Finally, the other correlations not only varied with photoperiod but also with sex. Our study highlights the importance of photoperiod and sex in the expression of personality traits and behavioural profiles, and of the need to measure them across the whole photoperiodic cycle.","2017","2018-12-03 14:27:01","2018-12-03 14:27:01","","885-893","","","123","","","","","","","","","","","","","","","","","","","/Users/martin/Zotero/storage/URVZDY83/Amy et al. - 2017 - personality traits and behavioural profiles in the.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JQJKK3Y6","journalArticle","2015","Aplin, L. M.; Firth, J. A.; Farine, D. R.; Voelkl, B.; Crates, R. A.; Culina, A.; Garroway, C. J.; Hinde, C. A.; Kidd, L. R.; Psorakis, I.; Milligan, N. D.; Radersma, R.; Verhelst, B. L.; Sheldon, B. C.","consistent individual differences in the social phenotypes of wild great tits, parus major","ANIMAL BEHAVIOUR","","","10.1016/j.anbehav.2015.07.016","","Despite growing interest in animal social networks, surprisingly little is known about whether individuals are consistent in their social network characteristics. Networks are rarely repeatedly sampled; yet an assumption of individual consistency in social behaviour is often made when drawing conclusions about the consequences of social processes and structure. A characterization of such social phenotypes is therefore vital to understanding the significance of social network structure for individual fitness outcomes, and for understanding the evolution and ecology of individual variation in social behaviour more broadly. Here, we measured foraging associations over three winters in a large PIT-tagged population of great tits, and used a range of social network metrics to quantify individual variation in social behaviour. We then examined repeatability in social behaviour over both short (week to week) and long (year to year) timescales, and investigated variation in repeatability across age and sex classes. Social behaviours were significantly repeatable across all timescales, with the highest repeatability observed in group size choice and unweighted degree, a measure of gregariousness. By conducting randomizations to control for the spatial and temporal distribution of individuals, we further show that differences in social phenotypes were not solely explained by within-population variation in local densities, but also reflected fine-scale variation in social decision making. Our results provide rare evidence of stable social phenotypes in a wild population of animals. Such stable social phenotypes can be targets of selection and may have important fitness consequences, both for individuals and for their social-foraging associates. (C) 2015 The Authors. Published on behalf of The Association for the Study of Animal Behaviour by Elsevier Ltd. This is an open access article under the CC BY license.","2015","2018-12-03 14:27:01","2018-12-03 14:27:01","","117-127","","","108","","","","","","","","","","","","","","","","","","","/Users/martin/Zotero/storage/EKSXJ34G/Aplin et al. - 2015 - consistent individual differences in the social ph.pdf","","Animals; Phenotype; Animal Shells; Social Support","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2UJ6RD3M","journalArticle","2017","Araya-Ajoy, Yimen G.; Dingemanse, Niels J.","repeatability, heritability, and age-dependence of seasonal plasticity in aggressiveness in a wild passerine bird","JOURNAL OF ANIMAL ECOLOGY","","","10.1111/1365-2656.12621","","1. Labile characters allow individuals to flexibly adjust their phenotype to changes in environmental conditions. There is growing evidence that individuals can differ both in average expression and level of plasticity in this type of character. Both of these aspects are studied in conjunction within a reaction norm framework. 2. Theoreticians have investigated the factors promoting variation in reaction norm intercepts (average phenotype) and slopes (level of plasticity) of a key labile character: behaviour. A general prediction from their work is that selection will favour the evolution of repeatable individual variation in level of plasticity only under certain ecological conditions. While factors promoting individual repeatability of plasticity have thus been identified, empirical estimates of this phenomenon are largely lacking for wild populations. 3. We assayed aggressiveness of individual male great tits (Parus major) twice during their egg-laying stage and twice during their egg-incubation stage to quantify each male's level of seasonal plasticity. This procedure was applied during six consecutive years; all males breeding in our plots during those years were assayed, resulting in repeated measures of individual reaction norms for any individual breeding in multiple years. We quantified among-and within-individual variation in reaction norm components, allowing us to estimate repeatability of seasonal plasticity. Using social pedigree information, we further partitioned reaction norm components into their additive genetic and permanent environmental counterparts. 4. Cross-year individual repeatability for the intercepts (average aggressiveness) and slopes (level of seasonal plasticity) of the aggressiveness reaction norms were 0.574 and 0.516 respectively. The mean of the posterior distributions suggested modest heritabilities (h(2) = 0.260 for intercepts; h(2) = 0.266 for slopes), but these estimates were relatively uncertain. Males behaved more aggressively in areas with higher breeding densities, and became less aggressive and less plastic with increasing age; plasticity thus varied within individuals and was multidimensional in nature. 5. This empirical study quantified cross-year individual repeatability, heritability and agerelated reversible plasticity in behaviour. Acknowledging such patterns of multi-level variation is important not only for testing behavioural ecology theory concerning the evolution of repeatable differences in behavioural plasticity but also for predicting how reversible plasticity may evolve in natural populations.","2017","2018-12-03 14:27:02","2018-12-03 14:27:02","","227-238","","","86","","","","","","","","","","","","","","","","","","","/Users/martin/Zotero/storage/9NIFKQ2A/Araya-Ajoy and Dingemanse - 2017 - repeatability, heritability, and age-dependence of.pdf","","Phenotype; Ovum; Seasons","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DGT6LEM2","journalArticle","2011","Arnold, Bryan D.; Wilkinson, Gerald S.","individual specific contact calls of pallid bats (antrozous pallidus) attract conspecifics at roosting sites","BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY","","","10.1007/s00265-011-1168-4","","In several bird and mammal species, contact calls are utilized to maintain group cohesion and coordinate group movement. From a signal design perspective, contact calls typically exhibit acoustic features that make them easily localizable and encode information about individual or group identity. Pallid bats (Antrozous pallidus) are unusual among vespertilionids in that they often emit a loud, partially audible frequency-modulated social call several times in rapid succession while in flight. This call appears to function as a contact call in that it is frequently given when bats return from foraging and perform circular flights before entering a crevice roost. However, the degree to which pallid bats respond to the calls of conspecifics and what information is provided in the call is unknown. Thus, the goal of this study was to investigate pallid bat calling behavior to determine if calls attract roostmates or elicit responses from them and provide sufficient information for individual recognition. In playback studies, we found that contact calls elicit calls and approaches and that free-flying bats respond more to familiar than unfamiliar calls. In addition, analysis of frequency and temporal measurements of calls collected from multiple sites and spectral cross correlation analysis of calls recorded from the same radio-tagged bats on multiple evenings revealed that the frequency pattern of contact calls is highly repeatable over time within individuals but exhibits significant differences among individuals. Thus, contact call structure appears to be unique to individuals and stable through time, which makes these calls well-suited for roostmate recognition.","2011","2018-12-03 14:27:02","2018-12-03 14:27:02","","1581-1593","","","65","","","","","","","","","","","","","","","","","","","/Users/martin/Zotero/storage/B6RRGHYC/Arnold and Wilkinson - 2011 - individual specific contact calls of pallid bats (.pdf","","Chiroptera","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V5R8XCKE","journalArticle","2017","Arroyo, Beatriz; Mougeot, Francois; Bretagnolle, Vincent","individual variation in behavioural responsiveness to humans leads to differences in breeding success and long-term population phenotypic changes","ECOLOGY LETTERS","","","10.1111/ele.12729","","Whether human disturbance can lead to directional selection and phenotypic change in behaviour in species with limited behavioural plasticity is poorly understood in wild animal populations. Using a 19-year study on Montagus harrier, we report a long-term increase in boldness towards humans during nest visits. The probability of females fleeing or being passive during nest visits decreased, while defence intensity steadily increased over the study period. These behavioural responses towards humans were significantly repeatable. The phenotypic composition of the breeding population changed throughout the study period (4-5 harrier generations), with a gradual disappearance of shy individuals, leading to a greater proportion of bolder ones and a more behaviourally homogeneous population. We further show that nest visit frequency increased nest failure probability and reduced productivity of shy females, but not of bold ones. Long-term research or conservation programmes needing nest visits can therefore lead to subtle but relevant population compositional changes that require further attention.","2017","2018-12-03 14:27:02","2018-12-03 14:27:02","","317-325","","","20","","","","","","","","","","","","","","","","","","","/Users/martin/Zotero/storage/BTIJC5CX/Arroyo et al. - 2017 - individual variation in behavioural responsiveness.pdf","","Humans; Phenotype; Breeding; Probability; Humanism; Humanities","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
